Packet(#), RTO
0, 2526.0
1, 1313.0875
2, 978.81
3, 910.7788
4, 887.0882
5, 936.5267
6, 885.84064
7, 851.3338
8, 843.9746
9, 871.4685
10, 851.70734
11, 888.31946
12, 849.783
13, 841.5358
14, 852.709
15, 854.93646
16, 839.55286
17, 834.8948
18, 865.1897
19, 854.31226
20, 875.37274
21, 845.92847
22, 865.9875
23, 846.8028
24, 893.8426
25, 882.46014
26, 846.76697
27, 967.2119
28, 911.078
29, 912.1152
30, 862.6418
31, 847.5409
32, 856.6669
33, 873.1524
34, 867.5679
35, 854.94763
36, 839.63745
37, 1042.555
38, 1223.5505
39, 1282.7996
40, 1374.8997
41, 1485.6078
42, 1657.1543
43, 1879.4062
44, 1940.4143
45, 1654.7383
46, 1606.5586
47, 1462.5585
48, 1354.7517
49, 1215.8143
50, 1118.6182
51, 986.293
52, 914.082
53, 803.9832
54, 739.3485
55, 664.5204
56, 577.6771
57, 598.31604
58, 531.7567
59, 507.1848
60, 441.2336
61, 423.32416
62, 447.0041
63, 435.90173
64, 371.5078
65, 359.65762
66, 334.44345
67, 332.87674
68, 358.40155
69, 316.9008
70, 281.27994
71, 440.93747
72, 498.0451
73, 395.8357
74, 319.68454
75, 329.80487
76, 408.7796
77, 386.9218
78, 406.07562
79, 415.11517
80, 328.5017
81, 301.81482
82, 335.39133
83, 366.73212
84, 313.904
85, 331.8603
86, 310.78738
87, 328.7047
88, 280.91782
89, 291.88303
90, 315.2913
91, 271.6188
92, 328.64777
93, 311.24603
94, 297.075
95, 293.9521
96, 343.5866
97, 297.0338
98, 277.62244
99, 294.6591
100, 318.3832
101, 323.7727
102, 304.69016
103, 314.47052
104, 288.65002
105, 269.09995
106, 280.96075
107, 294.84958
108, 560.99506
109, 455.23984
110, 370.69867
111, 380.24884
112, 361.7837
113, 340.93512
114, 299.87115
115, 277.96118
116, 276.61633
117, 264.9114
118, 282.63617
119, 389.0498
120, 334.3142
121, 313.14
122, 297.1354
123, 296.06894
124, 279.12167
125, 281.06842
126, 295.78378
127, 267.90247
128, 281.918
129, 279.80414
130, 283.7414
131, 310.21844
132, 271.755
133, 270.76608
134, 264.55563
135, 258.12918
136, 260.67114
