Packet(#), SRTT
0, 842.0
1, 842.375
2, 842.7031
3, 841.11523
4, 839.7258
5, 835.38513
6, 834.212
7, 834.0605
8, 834.3029
9, 832.5151
10, 832.0757
11, 829.4412
12, 829.63605
13, 829.3065
14, 828.2682
15, 827.2347
16, 827.4553
17, 827.64844
18, 829.3174
19, 830.0277
20, 828.02423
21, 827.7712
22, 826.0498
23, 825.5436
24, 828.47565
25, 830.1662
26, 830.27045
27, 836.48663
28, 838.3008
29, 835.5132
30, 835.19904
31, 835.42413
32, 834.4961
33, 832.8091
34, 831.58295
35, 830.8851
36, 830.7744
37, 819.9276
38, 802.18665
39, 783.2883
40, 759.7523
41, 730.90826
42, 693.66974
43, 645.961
44, 596.4659
45, 560.78265
46, 522.1848
47, 488.9117
48, 457.92276
49, 431.4324
50, 407.00336
51, 387.12793
52, 368.36194
53, 353.5667
54, 339.99588
55, 328.8714
56, 320.76248
57, 310.04218
58, 302.6619
59, 295.32916
60, 290.78802
61, 286.0645
62, 279.68146
63, 273.97128
64, 271.22485
65, 268.07175
66, 265.93777
67, 263.44556
68, 259.51486
69, 257.9505
70, 257.5817
71, 265.88397
72, 274.52347
73, 277.33304
74, 277.7914
75, 279.6925
76, 285.10596
77, 281.5927
78, 276.64362
79, 271.31317
80, 270.39902
81, 269.59912
82, 266.64923
83, 262.44308
84, 261.2627
85, 258.35486
86, 256.6855
87, 253.7248
88, 253.38419
89, 254.83617
90, 252.23164
91, 252.32768
92, 255.66173
93, 257.329
94, 256.0379
95, 254.65817
96, 258.3259
97, 257.53516
98, 257.96826
99, 256.34723
100, 253.67883
101, 250.96898
102, 249.22285
103, 251.56999
104, 252.49875
105, 252.8114
106, 251.58498
107, 249.76186
108, 263.79163
109, 268.9427
110, 266.32486
111, 261.90924
112, 258.4206
113, 255.61801
114, 254.54076
115, 253.97316
116, 254.72652
117, 254.5107
118, 255.69685
119, 261.60974
120, 259.6585
121, 257.9512
122, 256.7073
123, 255.2439
124, 254.58841
125, 255.51486
126, 257.0755
127, 257.06607
128, 255.93282
129, 255.06621
130, 253.93294
131, 251.44131
132, 251.63615
133, 250.93164
134, 251.31519
135, 251.15079
136, 250.75694
