Packet(#), Var
0, 421.0
1, 117.67812
2, 34.02672
3, 17.415894
4, 11.840598
5, 25.285385
6, 12.907164
7, 4.318322
8, 2.4179235
9, 9.738359
10, 4.90792
11, 14.719565
12, 5.0367465
13, 3.0573313
14, 6.110203
15, 6.9254494
16, 3.02439
17, 1.8115901
18, 8.968084
19, 6.0711336
20, 11.83713
21, 4.5393157
22, 9.984421
23, 5.3148108
24, 16.34173
25, 13.0734825
26, 4.1241336
27, 32.681328
28, 18.1943
29, 19.150492
30, 6.8606863
31, 3.0291922
32, 5.542696
33, 10.085826
34, 8.996239
35, 6.015642
36, 2.215752
37, 55.656853
38, 105.34096
39, 124.87781
40, 153.78683
41, 188.67488
42, 240.87115
43, 308.3613
44, 335.98712
45, 273.4889
46, 271.09344
47, 243.41168
48, 224.20723
49, 196.09549
50, 177.9037
51, 149.79128
52, 136.43001
53, 112.604126
54, 99.83815
55, 83.912254
56, 64.22867
57, 72.06847
58, 57.273705
59, 52.963913
60, 37.611397
61, 34.314907
62, 41.830658
63, 40.482613
64, 25.070738
65, 22.89647
66, 17.126417
67, 17.357794
68, 24.72167
69, 14.737573
70, 5.924562
71, 43.763374
72, 55.880413
73, 29.625662
74, 10.473284
75, 12.528088
76, 30.918407
77, 26.33228
78, 32.358
79, 35.9505
80, 14.525676
81, 8.053924
82, 17.185522
83, 26.072256
84, 13.160324
85, 18.376362
86, 13.525476
87, 18.744982
88, 6.8834047
89, 9.261716
90, 15.7649145
91, 4.8227816
92, 18.246513
93, 13.4792595
94, 10.259276
95, 9.823477
96, 21.315182
97, 9.874664
98, 4.913543
99, 9.577965
100, 16.176094
101, 18.200935
102, 13.866827
103, 15.725134
104, 9.037819
105, 4.072134
106, 7.3439445
107, 11.271931
108, 74.30086
109, 46.574287
110, 26.093452
111, 29.5849
112, 25.840778
113, 21.329273
114, 11.332599
115, 5.9970055
116, 5.472452
117, 2.6001792
118, 6.7348304
119, 31.860016
120, 18.663923
121, 13.797201
122, 10.107027
123, 10.206258
124, 6.133318
125, 6.3883877
126, 9.677069
127, 2.709095
128, 6.4962926
129, 6.184481
130, 7.452112
131, 14.694284
132, 5.0297165
133, 4.9586115
134, 3.3101087
135, 1.7446008
136, 2.4785488
