Response Time(ms), Probability(%)
231, 0.729927
232, 1.459854
233, 1.459854
234, 3.649635
235, 2.189781
236, 1.459854
237, 2.189781
238, 0.729927
241, 0.729927
242, 0.729927
243, 0.729927
244, 0.729927
245, 3.649635
246, 5.839416
247, 2.189781
248, 3.649635
249, 0.729927
250, 3.649635
251, 2.919708
252, 2.189781
253, 3.649635
254, 0.729927
255, 1.459854
256, 0.729927
257, 1.459854
259, 1.459854
260, 0.729927
261, 0.729927
262, 0.729927
264, 2.919708
265, 0.729927
268, 1.459854
269, 0.729927
279, 0.729927
281, 0.729927
284, 0.729927
293, 0.729927
297, 0.729927
303, 0.729927
305, 0.729927
311, 0.729927
312, 0.729927
323, 0.729927
324, 0.729927
335, 0.729927
362, 0.729927
433, 0.729927
529, 0.729927
595, 0.729927
651, 0.729927
678, 0.729927
744, 0.729927
805, 0.729927
811, 0.729927
814, 1.459854
816, 0.729927
820, 1.459854
821, 1.459854
822, 0.729927
823, 0.729927
826, 2.189781
827, 0.729927
828, 0.729927
829, 2.189781
830, 2.189781
831, 1.459854
833, 1.459854
835, 0.729927
836, 0.729927
837, 0.729927
841, 0.729927
842, 1.459854
845, 1.459854
849, 0.729927
851, 0.729927
880, 0.729927
