Packet(#), Response Time (ms)
0, 842
1, 845
2, 845
3, 830
4, 830
5, 805
6, 826
7, 833
8, 836
9, 820
10, 829
11, 811
12, 831
13, 827
14, 821
15, 820
16, 829
17, 829
18, 841
19, 835
20, 814
21, 826
22, 814
23, 822
24, 849
25, 842
26, 831
27, 880
28, 851
29, 816
30, 833
31, 837
32, 828
33, 821
34, 823
35, 826
36, 830
37, 744
38, 678
39, 651
40, 595
41, 529
42, 433
43, 312
44, 250
45, 311
46, 252
47, 256
48, 241
49, 246
50, 236
51, 248
52, 237
53, 250
54, 245
55, 251
56, 264
57, 235
58, 251
59, 244
60, 259
61, 253
62, 235
63, 234
64, 252
65, 246
66, 251
67, 246
68, 232
69, 247
70, 255
71, 324
72, 335
73, 297
74, 281
75, 293
76, 323
77, 257
78, 242
79, 234
80, 264
81, 264
82, 246
83, 233
84, 253
85, 238
86, 245
87, 233
88, 251
89, 265
90, 234
91, 253
92, 279
93, 269
94, 247
95, 245
96, 284
97, 252
98, 261
99, 245
100, 235
101, 232
102, 237
103, 268
104, 259
105, 255
106, 243
107, 237
108, 362
109, 305
110, 248
111, 231
112, 234
113, 236
114, 247
115, 250
116, 260
117, 253
118, 264
119, 303
120, 246
121, 246
122, 248
123, 245
124, 250
125, 262
126, 268
127, 257
128, 248
129, 249
130, 246
131, 234
132, 253
133, 246
134, 254
135, 250
136, 248
